ID,Type,Trend,Seasonality,Horizon,sMAPE,Model,sMAPE_ETS,sMAPE_Arima,sMAPE_cv,Model_cv,sMAPE_naive,sMAPE_snaive,sMAPE_drift
1266,INDUSTRY,1,Monthly,6,8.172844122,ETS,8.172844122,5.454816801,5.415338091,Arima,6.904208151,8.735799729,7.693292253
1267,INDUSTRY,1,Monthly,7,10.33831411,ETS,10.33831411,6.95974518,6.928891773,Arima,8.203606987,9.121120654,8.566138847
1268,INDUSTRY,1,Monthly,8,9.270767134,ETS,9.270767134,6.665708209,6.641305238,Arima,8.773900794,8.030290237,9.404651429
1269,INDUSTRY,1,Monthly,9,8.267818899,ETS,8.267818899,6.003805119,5.980011696,Arima,8.766960012,7.833839202,9.641412529
1270,INDUSTRY,1,Monthly,10,8.125355389,ETS,8.125355389,6.385643964,6.366698032,Arima,8.448167646,7.997914369,8.921200196
1271,INDUSTRY,1,Monthly,11,7.746672853,ETS,7.746672853,6.319976179,6.313412337,Arima,9.205300208,7.270831244,9.946262529
1272,INDUSTRY,1,Monthly,12,7.202035402,ETS,7.202035402,6.009699153,5.993408569,Arima,8.688265408,6.915002192,9.68042036
1273,INDUSTRY,1,Monthly,13,7.612283848,ETS,7.612283848,6.766530265,6.755722943,Arima,8.866912838,8.101360664,9.470737822
1274,INDUSTRY,1,Monthly,14,7.112659047,ETS,7.112659047,6.289815325,6.277606078,Arima,8.283424799,7.792696955,9.156212767
1275,INDUSTRY,1,Monthly,15,7.989909313,ETS,7.989909313,6.471049995,6.46829462,Arima,8.070179529,8.741073733,8.573163289
1276,INDUSTRY,1,Monthly,16,8.715730709,ETS,8.715730709,6.220634117,6.224907172,Arima,7.686513239,9.357547322,8.469106498
1277,INDUSTRY,1,Monthly,17,9.069414323,ETS,9.069414323,6.6060803,6.607629694,Arima,8.293746499,9.186610003,9.337721282
1278,INDUSTRY,1,Monthly,18,9.241815523,ETS,9.241815523,6.441049662,6.447612978,Arima,7.84265305,9.419737205,9.138806103
1279,MACRO,1,Monthly,1,29.98982559,ETS,29.98982559,26.84946208,17.24855172,Arima,32.66932271,42.65927978,31.89746167
1280,MACRO,1,Monthly,2,27.86781071,ETS,27.86781071,32.50085645,24.20184535,Arima,45.9435999,39.81789321,44.83580697
1281,MACRO,1,Monthly,3,20.65613168,ETS,20.65613168,25.43352553,17.38800141,Arima,37.38132528,36.58003611,35.86365597
1282,MACRO,1,Monthly,4,15.52768317,ETS,15.52768317,21.68113719,13.88831469,Arima,37.49545342,28.54122177,35.59979264
1283,MACRO,1,Monthly,5,14.07920525,ETS,14.07920525,17.40084083,12.66865344,Arima,33.15425747,24.64600858,30.86125381
1284,MACRO,1,Monthly,6,12.0107276,ETS,12.0107276,16.47506475,11.26102038,Arima,34.6130732,20.99400119,31.95559816
1285,MACRO,1,Monthly,7,16.02905086,ETS,16.02905086,21.95480311,16.37948588,Arima,42.38074619,23.30422703,39.47447821
1286,MACRO,1,Monthly,8,16.34966797,ETS,16.34966797,22.3586867,16.42756195,Arima,44.81341607,21.32516911,41.56632554
1287,MACRO,1,Monthly,9,14.65583808,ETS,14.65583808,20.91787973,14.69907381,Arima,43.80343634,19.51000167,40.16886474
1288,MACRO,1,Monthly,10,13.78412303,ETS,13.78412303,19.42945787,14.73509578,Arima,40.75642604,17.66949874,36.72154702
1289,MACRO,1,Monthly,11,22.1954425,ETS,22.1954425,27.85677873,24.16428045,Arima,46.07742466,25.81054491,42.97207238
1290,MACRO,1,Monthly,12,20.88111878,ETS,20.88111878,26.75247449,24.20696655,Arima,42.34413555,23.76616244,40.25671687
1291,MACRO,1,Monthly,13,19.33473981,ETS,19.33473981,25.6214271,24.34913904,Arima,39.37445725,23.02071043,37.62944859
1292,MACRO,1,Monthly,14,18.182579,ETS,18.182579,24.53021909,22.82152549,Arima,38.91137079,22.05826965,36.55128878
1293,MACRO,1,Monthly,15,20.16467961,ETS,20.16467961,25.99407838,23.51064351,Arima,40.47028486,25.33348105,37.57742903
1294,MACRO,1,Monthly,16,20.96871496,ETS,20.96871496,27.29245385,24.13314736,Arima,42.30556148,26.15881428,38.92264936
1295,MACRO,1,Monthly,17,21.15074645,ETS,21.15074645,27.4071458,23.59563061,Arima,42.67333388,27.0997409,38.77713444
1296,MACRO,1,Monthly,18,20.73871384,ETS,20.73871384,27.67123448,23.26577251,Arima,43.4861844,26.65495191,39.11160109
1297,MACRO,0,Non-seasonal,1,8.190550996,ETS,8.190550996,3.053211231,3.447300053,Arima(transform),7.267709292,10.02506266,7.414068745
1298,MACRO,0,Non-seasonal,2,4.990491052,ETS,4.990491052,6.224420841,6.25183716,Arima(transform),4.991122597,10.26372478,4.91787683
1299,MACRO,0,Non-seasonal,3,5.740941078,ETS,5.740941078,4.983966549,4.899741202,Arima(transform),5.433642171,10.60538695,5.530997853
1300,MACRO,0,Non-seasonal,4,17.84084508,ETS,17.84084508,19.9137879,19.78415599,Arima(transform),17.824226,20.43629853,17.76195599
1301,MACRO,0,Non-seasonal,5,21.67167775,ETS,21.67167775,20.75810805,20.71466356,Arima(transform),21.4797109,20.47747919,21.57116895
1302,MACRO,0,Non-seasonal,6,24.18444179,ETS,24.18444179,21.05587264,21.074248,Arima(transform),23.87550714,22.69961281,24.0929402
1303,MACRO,0,Non-seasonal,7,21.17564251,ETS,21.17564251,19.84092818,19.80384245,Arima(transform),20.77883304,20.63744852,21.11109374
1304,MACRO,0,Non-seasonal,8,18.58397953,ETS,18.58397953,19.4962488,19.41154705,Arima(transform),18.35229663,18.57234721,18.49721679
1305,MACRO,0,Non-seasonal,9,17.12092703,ETS,17.12092703,18.67402721,18.5458313,Arima(transform),16.81235837,17.77817746,17.08678404
1306,MACRO,0,Non-seasonal,10,17.6100946,ETS,17.6100946,17.19185639,17.1303531,Arima(transform),17.24103421,18.48835203,17.63188309
1307,MACRO,0,Non-seasonal,11,19.62222776,ETS,19.62222776,17.56857344,17.56675512,Arima(transform),19.20594224,20.2931261,19.70104162
1308,MACRO,0,Non-seasonal,12,19.15117964,ETS,19.15117964,16.55363406,16.49656082,Arima(transform),18.6929175,19.68950271,19.29144228
1309,MACRO,0,Non-seasonal,13,19.0843979,ETS,19.0843979,15.39497215,15.28635337,Arima(transform),18.59085739,18.18304839,19.2874077
1310,MACRO,0,Non-seasonal,14,19.41446269,ETS,19.41446269,14.55364559,14.50895272,Arima(transform),18.89105131,17.96047918,19.68097058
1311,MACRO,0,Non-seasonal,15,19.18014048,ETS,19.18014048,13.88903966,13.7911528,Arima(transform),18.63037563,16.93726925,19.51177083
1312,MACRO,0,Non-seasonal,16,18.56215434,ETS,18.56215434,13.73825963,13.59068407,Arima(transform),17.98909854,16.74085573,18.96004592
1313,MACRO,0,Non-seasonal,17,18.97236932,ETS,18.97236932,13.20415381,13.12077433,Arima(transform),18.37951166,16.28316344,19.43579079
1314,MACRO,0,Non-seasonal,18,18.72247027,ETS,18.72247027,12.84325602,12.70961097,Arima(transform),18.11145559,16.01490931,19.2530142
1315,MACRO,1,Non-seasonal,1,0.03110161,ETS,0.03110161,0.018614402,0.03110161,ETS,0.093852651,1.132075472,0.115766217
1316,MACRO,1,Non-seasonal,2,0.421638303,ETS,0.421638303,0.364257971,0.421638303,ETS,0.514216045,1.64737295,0.31577601
1317,MACRO,1,Non-seasonal,3,0.780036719,ETS,0.780036719,0.689289231,0.780036719,ETS,0.901469915,2.129659791,0.560005417
1318,MACRO,1,Non-seasonal,4,1.10679601,ETS,1.10679601,0.984936096,1.10679601,ETS,1.25614884,2.62720739,0.791106681
1319,MACRO,1,Non-seasonal,5,1.329240796,ETS,1.329240796,1.176693687,1.329240796,ETS,1.505614482,3.019798699,0.924856148
1320,MACRO,1,Non-seasonal,6,1.575875342,ETS,1.575875342,1.392481899,1.575875342,ETS,1.778400238,3.244842322,1.085939906
1321,MACRO,1,Non-seasonal,7,1.758394241,ETS,1.758394241,1.543756909,1.758394241,ETS,1.986236826,3.364383798,1.184420442
1322,MACRO,1,Non-seasonal,8,1.946433064,ETS,1.946433064,1.70005476,1.946433064,ETS,2.198786716,3.416403827,1.289144053
1323,MACRO,1,Non-seasonal,9,2.037632544,ETS,2.037632544,1.758963616,2.037632544,ETS,2.313727786,3.364806682,1.297303601
1324,MACRO,1,Non-seasonal,10,2.142879845,ETS,2.142879845,1.831361317,2.142879845,ETS,2.441967733,3.416137648,1.319554353
1325,MACRO,1,Non-seasonal,11,2.266598235,ETS,2.266598235,1.921670594,2.266598235,ETS,2.587955947,3.44800253,1.360172629
1326,MACRO,1,Non-seasonal,12,2.381688206,ETS,2.381688206,2.002796176,2.381688206,ETS,2.724621382,3.512997418,1.391961836
1327,MACRO,1,Non-seasonal,13,2.490250912,ETS,2.490250912,2.076850887,2.490250912,ETS,2.854090007,3.661637317,1.416966746
1328,MACRO,1,Non-seasonal,14,2.619349,ETS,2.619349,2.170916022,2.619349,ETS,3.003444645,3.840968283,1.46222437
1329,MACRO,1,Non-seasonal,15,2.782529473,ETS,2.782529473,2.298558879,2.782529473,ETS,3.186251938,4.062406026,1.541270767
1330,MACRO,1,Non-seasonal,16,2.989543845,ETS,2.989543845,2.46955383,2.989543845,ETS,3.41228126,4.346017086,1.663860033
1331,MACRO,1,Non-seasonal,17,3.201390092,ETS,3.201390092,2.644907561,3.201390092,ETS,3.642558913,4.643939011,1.790968844
1332,MACRO,1,Non-seasonal,18,3.412363619,ETS,3.412363619,2.818931344,3.412363619,ETS,3.871401909,4.88526151,1.916890818
1333,MACRO,1,Non-seasonal,1,0.12731346,Arima(transform),0.053623752,0.112599549,0.112599549,Arima,1.198630137,0.511945392,0.986899596
1334,MACRO,1,Non-seasonal,2,1.187957872,Arima(transform),1.441161656,1.160838886,1.160838886,Arima,2.748493324,3.185909002,2.431203262
1335,MACRO,1,Non-seasonal,3,1.715771353,Arima(transform),2.023149842,1.682123929,1.682123929,Arima,3.456978743,3.921187299,3.03427178
1336,MACRO,1,Non-seasonal,4,1.887962047,Arima(transform),2.095346772,1.849919957,1.849919957,Arima,3.646696957,3.546824448,3.1186753
1337,MACRO,1,Non-seasonal,5,1.862323836,Arima(transform),2.078860359,1.819364769,1.819364769,Arima,3.744012986,3.595354295,3.110818816
1338,MACRO,1,Non-seasonal,6,1.670302899,Arima(transform),1.879675076,1.622192316,1.622192316,Arima,3.656733985,3.375715252,2.918483465
1339,MACRO,1,Non-seasonal,7,1.835109608,Arima(transform),2.059618292,1.78164673,1.78164673,Arima,3.947254354,3.596143949,3.104194141
1340,MACRO,1,Non-seasonal,8,1.953949385,Arima(transform),2.147346317,1.89579947,1.89579947,Arima,4.144802334,3.571408384,3.197057176
1341,MACRO,1,Non-seasonal,9,1.961564411,Arima(transform),2.146376336,1.89859521,1.89859521,Arima,4.253112869,3.59142558,3.200800982
1342,MACRO,1,Non-seasonal,10,1.990765938,Arima(transform),2.189434328,1.922421404,1.922421404,Arima,4.404965948,3.715213913,3.248258097
1343,MACRO,1,Non-seasonal,11,2.038876521,Arima(transform),2.271506055,1.964475067,1.964475067,Arima,4.595423589,3.921561503,3.334495225
1344,MACRO,1,Non-seasonal,12,2.035668613,Arima(transform),2.308675109,1.955311809,1.955311809,Arima,4.740689583,4.122982671,3.375666161
1345,MACRO,1,Non-seasonal,13,2.059661145,Arima(transform),2.348591763,1.974056962,1.974056962,Arima,4.888414672,4.265453522,3.419449803
1346,MACRO,1,Non-seasonal,14,1.97791644,Arima(transform),2.280790839,1.887204556,1.887204556,Arima,4.928254105,4.461290843,3.355424794
1347,MACRO,1,Non-seasonal,15,1.87635171,Arima(transform),2.191573778,1.780640227,1.780640227,Arima,4.946459983,4.545144232,3.269897824
1348,MACRO,1,Non-seasonal,16,1.789343267,Arima(transform),2.115607819,1.688715902,1.688715902,Arima,4.977691655,4.489478033,3.197547646
1349,MACRO,1,Non-seasonal,17,1.714320514,Arima(transform),2.050545544,1.608842248,1.608842248,Arima,5.019614297,4.53990286,3.136038433
1350,MACRO,1,Non-seasonal,18,1.634154596,Arima(transform),1.949283959,1.545196604,1.545196604,Arima,5.0251689,4.51974767,3.038279365
1351,MACRO,1,Non-seasonal,1,0.588923488,Arima,0.702545763,0.588923488,0.588923488,Arima,0.122473974,9.900990099,0.262868029
1352,MACRO,1,Non-seasonal,2,0.448370367,Arima,0.449354593,0.448370367,0.448370367,Arima,0.987734825,10.54201948,1.19821367
1353,MACRO,1,Non-seasonal,3,0.460780134,Arima,0.472206359,0.460780134,0.460780134,Arima,1.317739987,10.57411227,1.59823993
1354,MACRO,1,Non-seasonal,4,0.393319505,Arima,0.381042225,0.393319505,0.393319505,Arima,1.796762701,10.65024948,2.147193817
1355,MACRO,1,Non-seasonal,5,0.335045479,Arima,0.367149341,0.335045479,0.335045479,Arima,2.338536569,10.65353292,2.758800436
1356,MACRO,1,Non-seasonal,6,0.383841122,Arima,0.35470889,0.383841122,0.383841122,Arima,2.742431268,10.71744278,3.232461003
1357,MACRO,1,Non-seasonal,7,0.357078847,Arima,0.341416212,0.357078847,0.357078847,Arima,3.23393613,10.85056452,3.793612208
1358,MACRO,1,Non-seasonal,8,0.477880659,Arima,0.391742144,0.477880659,0.477880659,Arima,3.586314542,10.73033789,4.215587214
1359,MACRO,1,Non-seasonal,9,0.494065005,Arima,0.356841304,0.494065005,0.494065005,Arima,4.049599647,10.74716714,4.748319376
1360,MACRO,1,Non-seasonal,10,0.515447916,Arima,0.332827621,0.515447916,0.515447916,Arima,4.513094344,10.75830901,5.28114964
